,Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,column10,Company/Brand,What it does,Amount($),Company Name,Industry,Round/Series,Location,About Company
40,,,,,,,,—,,,,,,Chakr Innovation,Renewable Energy,Seed,"New Delhi, Delhi, India",Chakr has developed the world’s first retro-fit emission control device for diesel generators.
41,,,,,,,,150000,,,,,,IndigoLearn,"E-Learning, Education",Seed,"Hyderabad, Andhra Pradesh, India",India's the premier education destination catering to the needs of aspiring students of the CA community.
42,,,,,,,,"₹40,000,000",,,,,,UClean,"Clean Energy, CleanTech, Laundry and Dry-cleaning",Seed,"India, Asia",UClean is a tech enabled laundry service provider.
43,,,,,,,,1000000,,,,,,Coutloot,"E-Commerce, Fashion, Mobile",Seed,"Mumbai, Maharashtra, India",The Fashion Re-commerce platform.
44,,,,,,,,1700000,,,,,,Letstrack,"Apps, Messaging, Navigation, Public Safety",Seed,"New Delhi, Delhi, India","Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India."
45,,,,,,,,—,,,,,,Pooltoo,Transportation,Seed,"New Delhi, Delhi, India",Pooltoo offers a premium ride sharing platform.
46,,,,,,,,1300000,,,,,,Finzy,"Financial Services, Lending",Seed,"Bangalore, Karnataka, India",finzy is the premier peer to peer lending solution in India.
47,,,,,,,,2000000,,,,,,Fitternity,"Fitness, Health Care, Wellness",Seed,"Mumbai, Maharashtra, India",India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey
48,,,,,,,,—,,,,,,Keito,"Artificial Intelligence, Machine Learning, SaaS, Virtual Assistant",Seed,"Pune, Maharashtra, India",Building an Intelligent Digital Assistant.
49,,,,,,,,"₹5,000,000",,,,,,Tolet for Students,Hospitality,Seed,"Jodhpur, Rajasthan, India","Reserve your Room, Hostel or Paying Guest, while relocating for higher education."
50,,,,,,,,"₹20,000,000",,,,,,Chai Kings,"Food and Beverage, Tea",Seed,"Chennai, Tamil Nadu, India",Chai Kings is a tea retail chain
51,,,,,,,,"₹40,000,000",,,,,,Dainik Jagran,"Media and Entertainment, News, Outdoors",Seed,"Kanpur, Uttar Pradesh, India",Dainik Jagran is a media and communications group.
52,,,,,,,,"₹20,000,000",,,,,,Playtoome,"Broadcasting, Media and Entertainment, Music, Music Streaming, Video, Video Streaming",Seed,"Bengaluru, Karnataka, India",Playtoome is a live entertainment destination
53,,,,,,,,1000000,,,,,,ONGO Framework,"B2B, Information Services, Information Technology",Angel,"Hyderabad, Andhra Pradesh, India",ONGO Framework is a B2B IT and digital solution provider.
54,,,,,,,,"₹12,500,000",,,,,,Notesgen,"EdTech, Education, Enterprise Software, Peer to Peer",Seed,"New Delhi, Delhi, India",A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.
