Company_Brand,Sector,Stage,HeadQuarter,What it does,Amount($),Founded,Founders,Investor,Top_Stage,Location
TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",seed,"Bangalore, Karnataka, India","TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",250000.0,2017.0,Unknown,Investor,seed,India
Happy Cow Dairy,"Agriculture, Farming",seed,"Mumbai, Maharashtra, India",A startup which aggregates milk from dairy farmers in rural Maharashtra.,480000.0,2017.0,Unknown,Investor,seed,India
MyLoanCare,"Credit, Financial Services, Lending, Marketplace",series a,"Gurgaon, Haryana, India",Leading Online Loans Marketplace in India,780000.0,2017.0,Unknown,Investor,series a,India
PayMe India,"Financial Services, FinTech",angel,"Noida, Uttar Pradesh, India",PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2000000.0,2017.0,Unknown,Investor,Other,India
Eunimart,"E-Commerce Platforms, Retail, SaaS",seed,"Hyderabad, Andhra Pradesh, India",Eunimart is a one stop solution for merchants to create a difference by selling globally.,0.0,2017.0,Unknown,Investor,seed,India
Hasura,"Cloud Infrastructure, PaaS, SaaS",seed,"Bengaluru, Karnataka, India","Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",1600000.0,2017.0,Unknown,Investor,seed,India
Tripshelf,"Internet, Leisure, Marketplace",seed,"Kalkaji, Delhi, India",Tripshelf is an online market place for holiday packages.,192000.0,2017.0,Unknown,Investor,seed,India
Hyperdata.IO,Market Research,angel,"Hyderabad, Andhra Pradesh, India",Hyperdata combines advanced machine learning with human intelligence.,600000.0,2017.0,Unknown,Investor,Other,India
Freightwalla,"Information Services, Information Technology",seed,"Mumbai, Maharashtra, India",Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,0.0,2017.0,Unknown,Investor,seed,India
Microchip Payments,Mobile Payments,seed,"Bangalore, Karnataka, India",Microchip payments is a mobile-based payment application and point-of-sale device,0.0,2017.0,Unknown,Investor,seed,India
BizCrum Infotech Pvt. Ltd.,"B2B, Shoes",seed,"Delhi, Delhi, India",Building Transactionary B2B Marketplaces,0.0,2017.0,Unknown,Investor,seed,India
Emojifi,Internet,seed,"Bengaluru, Karnataka, India","Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",0.0,2017.0,Unknown,Investor,seed,India
Flock,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",seed,"India, Asia",Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,0.0,2017.0,Unknown,Investor,seed,Asia
Freshboxx,Food Delivery,seed,"Hubli, Karnataka, India","Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",0.0,2017.0,Unknown,Investor,seed,India
Wide Mobility Mechatronics,Industrial Automation,seed,"Bangalore, Karnataka, India",Wide Mobility Mechatronics is a Private Company limited by Shares,0.0,2017.0,Unknown,Investor,seed,India
Pitstop,"Automotive, Search Engine, Service Industry",seed,"Bengaluru, Karnataka, India",Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,1200000.0,2017.0,Unknown,Investor,seed,India
Mihuru,"Finance, Internet, Travel",seed,"Mumbai, Maharashtra, India",Mihuru is an online platform which gives micro loans for air travel .,150000.0,2017.0,Unknown,Investor,seed,India
Fyle,"Accounting, Business Information Systems, Business Travel, Finance, SaaS",seed,"Bengaluru, Karnataka, India",Fyle is an intelligent expense management platform for enterprises.,1100000.0,2017.0,Unknown,Investor,seed,India
AppWharf,"Artificial Intelligence, Product Search, SaaS, Service Industry, Software",seed,"New Delhi, Delhi, India",Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,0.0,2017.0,Unknown,Investor,seed,India
Antariksh Waste Ventures Pvt ltd,"Internet of Things, Waste Management",seed,"Chennai, Tamil Nadu, India",Waste Management for Smart Cities,6000.0,2017.0,Unknown,Investor,seed,India
Cogoport,"Air Transportation, Freight Service, Logistics, Marine Transportation",series a,"Mumbai, Maharashtra, India",Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,6000000.0,2017.0,Unknown,Investor,series a,India
PaisaDukan,Financial Services,seed,"Mumbai, Maharashtra, India",A P2P lending marketplace platform,650000.0,2017.0,Unknown,Investor,seed,India
Sleepy Owl Coffee,Food and Beverage,seed,"New Delhi, Delhi, India","Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",420000.0,2017.0,Unknown,Investor,seed,India
BlueJack,Autonomous Vehicles,seed,"Delhi, Delhi, India",Delhi-based online used vehicles marketplace.,768000.0,2017.0,Unknown,Investor,seed,India
PregBuddy,"Enterprise Software, Health Care, Hospital, Parenting, Personal Health, SaaS",seed,"Bengaluru, Karnataka, India",PregBuddy is a smart connected care platform for expecting mothers.,0.0,2017.0,Unknown,Investor,seed,India
AgNext Technologies,"Agriculture, Analytics, Big Data, Farming",series a,"Mohali, Punjab, India",AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,0.0,2017.0,Unknown,Investor,series a,India
Pando,"Logistics, Supply Chain Management",seed,"Chennai, Tamil Nadu, India",A startup which digitizes logistics operations for Fortune 500 companies.,2000000.0,2017.0,Unknown,Investor,seed,India
Mintifi,"Financial Services, Lending",seed,"Mumbai, Maharashtra, India",Online lending startup based in Mumbai.,2000000.0,2017.0,Unknown,Investor,seed,India
Carcrew,"Automotive, Marketplace, Online Portals",seed,"Mumbai, Maharashtra, India",India's Online Auto Repair Marketplace,2000000.0,2017.0,Unknown,Investor,seed,India
NicheAI,Artificial Intelligence,angel,"Hyderabad, Andhra Pradesh, India",Early stage Artificial Intelligence (AI) start up.,0.0,2017.0,Unknown,Investor,Other,India
Chariot Tech,"Internet of Things, Telecommunications",seed,"New Delhi, Delhi, India",Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,240000.0,2017.0,Unknown,Investor,seed,India
Ideal Insurance Brokers/ 121Policy.com,Insurance,seed,"Kolkata, West Bengal, India",Ideal Insurance Broking is one of the leaders in insurance broking domain.,1000000.0,2017.0,Unknown,Investor,seed,India
Loanzen,Financial Services,seed,"Bangalore, Karnataka, India",Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,0.0,2017.0,Unknown,Investor,seed,India
Mojro Technologies,"Information Technology, Logistics, Supply Chain Management",seed,"Bengaluru, Karnataka, India",Mojro envisions to be the world's largest technology-enabled logistics platform.,650000.0,2017.0,Unknown,Investor,seed,India
Elemential,"Blockchain, Developer Tools, Enterprise Software",seed,"Mumbai, Maharashtra, India","Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",1000000.0,2017.0,Unknown,Investor,seed,India
Loadshare,"Industrial Automation, Logistics, Supply Chain Management",series a,"Bengaluru, Karnataka, India",LoadShare is India’s fastest growing logistics company,5000000.0,2017.0,Unknown,Investor,series a,India
Yumlane,"Food and Beverage, Food Delivery, Snack Food",series a,"Mumbai, Maharashtra, India",Food startup Yumlane operated by QwikPik Technology,4000000.0,2017.0,Unknown,Investor,series a,India
Kriger Campus,Education,seed,"New Delhi, Delhi, India",A Education Start Up.,360000.0,2017.0,Unknown,Investor,seed,India
Pipa+Bella,"E-Commerce, Fashion, Jewelry, Retail",series a,"Mumbai, Maharashtra, India",Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,1000000.0,2017.0,Unknown,Investor,series a,India
Kaleidofin,Financial Services,seed,"Chennai, Tamil Nadu, India",A fintech platform.,2800000.0,2017.0,Unknown,Investor,seed,India
Chakr Innovation,Renewable Energy,seed,"New Delhi, Delhi, India",Chakr has developed the world’s first retro-fit emission control device for diesel generators.,0.0,2017.0,Unknown,Investor,seed,India
IndigoLearn,"E-Learning, Education",seed,"Hyderabad, Andhra Pradesh, India",India's the premier education destination catering to the needs of aspiring students of the CA community.,150000.0,2017.0,Unknown,Investor,seed,India
UClean,"Clean Energy, CleanTech, Laundry and Dry-cleaning",seed,"India, Asia",UClean is a tech enabled laundry service provider.,480000.0,2017.0,Unknown,Investor,seed,Asia
Coutloot,"E-Commerce, Fashion, Mobile",seed,"Mumbai, Maharashtra, India",The Fashion Re-commerce platform.,1000000.0,2017.0,Unknown,Investor,seed,India
Letstrack,"Apps, Messaging, Navigation, Public Safety",seed,"New Delhi, Delhi, India","Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",1700000.0,2017.0,Unknown,Investor,seed,India
Pooltoo,Transportation,seed,"New Delhi, Delhi, India",Pooltoo offers a premium ride sharing platform.,0.0,2017.0,Unknown,Investor,seed,India
Finzy,"Financial Services, Lending",seed,"Bangalore, Karnataka, India",finzy is the premier peer to peer lending solution in India.,1300000.0,2017.0,Unknown,Investor,seed,India
Fitternity,"Fitness, Health Care, Wellness",seed,"Mumbai, Maharashtra, India",India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2000000.0,2017.0,Unknown,Investor,seed,India
Keito,"Artificial Intelligence, Machine Learning, SaaS, Virtual Assistant",seed,"Pune, Maharashtra, India",Building an Intelligent Digital Assistant.,0.0,2017.0,Unknown,Investor,seed,India
Tolet for Students,Hospitality,seed,"Jodhpur, Rajasthan, India","Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",60000.0,2017.0,Unknown,Investor,seed,India
Chai Kings,"Food and Beverage, Tea",seed,"Chennai, Tamil Nadu, India",Chai Kings is a tea retail chain,240000.0,2017.0,Unknown,Investor,seed,India
Dainik Jagran,"Media and Entertainment, News, Outdoors",seed,"Kanpur, Uttar Pradesh, India",Dainik Jagran is a media and communications group.,480000.0,2017.0,Unknown,Investor,seed,India
Playtoome,"Broadcasting, Media and Entertainment, Music, Music Streaming, Video, Video Streaming",seed,"Bengaluru, Karnataka, India",Playtoome is a live entertainment destination,240000.0,2017.0,Unknown,Investor,seed,India
ONGO Framework,"B2B, Information Services, Information Technology",angel,"Hyderabad, Andhra Pradesh, India",ONGO Framework is a B2B IT and digital solution provider.,1000000.0,2017.0,Unknown,Investor,Other,India
Notesgen,"EdTech, Education, Enterprise Software, Peer to Peer",seed,"New Delhi, Delhi, India",A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,150000.0,2017.0,Unknown,Investor,seed,India
Arogya MedTech,"Health Care, Medical",seed,"Kolkata, West Bengal, India",Arogya MedTech is a Research & Development organization in Bio-Medical industry.,180000.0,2017.0,Unknown,Investor,seed,India
Propshop24,E-Commerce,seed,"Mumbai, Maharashtra, India","Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",500000.0,2017.0,Unknown,Investor,seed,India
myUpchar,"Health Care, Hospital, Wellness",series a,"New Delhi, Delhi, India",To bring health issues to people in their language.,5000000.0,2017.0,Unknown,Investor,series a,India
MissMalini Entertainment,—,seed,"Mumbai, Maharashtra, India","MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",1248000.0,2017.0,Unknown,Investor,seed,India
Rooter,Sports,seed,"India, Asia",Rooter is a mobile-based platform,540000.0,2017.0,Unknown,Investor,seed,Asia
ZestMoney,"Big Data, Consumer Lending, FinTech",series a,"Bangalore, Karnataka, India",Zest is India's first completely automated consumer digital lending platform.,13400000.0,2017.0,Unknown,Investor,series a,India
alphaics Corporation,"Cloud Computing, Computer, Semiconductor",seed,"Bengaluru, Karnataka, India",Advancing AI compute,0.0,2017.0,Unknown,Investor,seed,India
MyDentistChoice,"Health Care, Medical, Pharmaceutical",seed,"Hyderabad, Andhra Pradesh, India",MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,500000.0,2017.0,Unknown,Investor,seed,India
Sattviko,"Food Processing, Retail",angel,"New Delhi, Delhi, India",Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,0.0,2017.0,Unknown,Investor,Other,India
Sensibull,Trading Platform,seed,"Bangalore, Karnataka, India",Investment Management Platform,300000.0,2017.0,Unknown,Investor,seed,India
Bombay Shaving Company,"Consumer Goods, Lifestyle, Men's",series a,"New Delhi, Delhi, India",Bombay Shaving Company is a Men's grooming startup,0.0,2017.0,Unknown,Investor,series a,India
MedCords,Wellness,seed,"Pune, Maharashtra, India",Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,316800.0,2017.0,Unknown,Investor,seed,India
University Living,Education,seed,"New Delhi, Delhi, India",University Living is an online global student housing marketplace.,0.0,2017.0,Unknown,Investor,seed,India
&ME,"Food and Beverage, Food Processing, Nutrition",seed,"Bangalore, Karnataka, India",Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,0.0,2017.0,Unknown,Investor,seed,India
Enakshi,Fashion,seed,"Ahmedabad, Gujarat, India",Enakshi is an online apparel brand for women.,96000.0,2017.0,Unknown,Investor,seed,India
Ultraviolette Automotive,"Automotive, Electric Vehicle, Energy Storage",series a,"Bangalore, Karnataka, India",Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,720.0,2017.0,Unknown,Investor,series a,India
Inthree Access,"Consulting, Retail, Social",series a,"Chennai, Tamil Nadu, India",Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,4000000.0,2017.0,Unknown,Investor,series a,India
BUGWORKS Research India,"Biotechnology, Life Science, Pharmaceutical, Product Research",series a,"Bangalore, Karnataka, India",BUGWORKS is a drug discovery company.,9000000.0,2017.0,Unknown,Investor,series a,India
Guardian.in,Health Care,seed,"Mumbai, Maharashtra, India",GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,0.0,2017.0,Unknown,Investor,seed,India
PrestLoans,"Credit, Financial Services, FinTech, Personal Finance",seed,"New Delhi, Delhi, India","PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",100000.0,2017.0,Unknown,Investor,seed,India
Wimoxez,Internet,seed,"Hyderabad, Andhra Pradesh, India","Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",20000.0,2017.0,Unknown,Investor,seed,India
India Accelerator,"Communities, Coworking, Incubators",angel,"Gurgaon, Haryana, India",India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,0.0,2017.0,Unknown,Investor,Other,India
HappyEMI,"Consumer, Financial Services, FinTech",seed,"Bangalore, Karnataka, India",HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,1000000.0,2017.0,Unknown,Investor,seed,India
Wishup,"Consumer Applications, Information Services, Location Based Services, Virtual Assistant",seed,"Azadpur, Delhi, India",Premium Personal Assistance service,0.0,2017.0,Unknown,Investor,seed,India
Hansel.io,"Mobile, Mobile Apps, Personalization, Test and Measurement, Web Apps",series a,"Bangalore, Karnataka, India","Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",4000000.0,2017.0,Unknown,Investor,series a,India
Propelld,"Education, Financial Services, FinTech",seed,"Bengaluru, Karnataka, India",Propelld is a student education financing platform.,250000.0,2017.0,Unknown,Investor,seed,India
PivotRoots,"Advertising, Consulting, Digital Marketing",series a,"Mumbai, Maharashtra, India",Digital Marketing powered by Data & Technology; fueled by Design thinking,0.0,2017.0,Unknown,Investor,series a,India
ZiffyHomes,"Marketplace, Real Estate, Rental Property",seed,"New Delhi, Delhi, India",ZiffyHomes is a technology driven marketplace to find out home on rent.,120000.0,2017.0,Unknown,Investor,seed,India
Carmesi,Health Care,seed,"Gurgaon, Haryana, India",Carmesi is a brand of high-end menstrual-hygiene products in India.,408000.0,2017.0,Unknown,Investor,seed,India
OckyPocky,"E-Learning, Internet, Video Games",angel,"Haryana, Haryana, India",OckyPocky is a interactive and personalised language learning app for preschool kids.,0.0,2017.0,Unknown,Investor,Other,India
Racetrack,"Artificial Intelligence, Cloud Computing, Video",seed,"Bangalore, Karnataka, India","Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",4104000.0,2017.0,Unknown,Investor,seed,India
WHR,"Health Care, Information Technology",seed,"Pune, Maharashtra, India","WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",143145.0,2017.0,Unknown,Investor,seed,India
Asteria Aerospace,Aerospace,seed,"Bangalore, Karnataka, India",Asteria Aerospace is a robotics and artificial intelligence company.,0.0,2017.0,Unknown,Investor,seed,India
FabAlley,"E-Commerce, Fashion, Lifestyle",series b,"Noida, Uttar Pradesh, India","FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",7200000.0,2017.0,Unknown,Investor,series b,India
Tranzmeo,"Artificial Intelligence, Business Intelligence, Industrial Automation, Machine Learning",pre-seed,"Cochin, Kerala, India",Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,0.0,2017.0,Unknown,Investor,pre-seed,India
SBI Life,Insurance,private equity,"Mumbai, Maharashtra, India",SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,742000000.0,2017.0,Unknown,Investor,Other,India
Studds Accessories,E-Commerce,private equity,"Faridabad, Haryana, India",Studds Accessories is a scooter accessories service provider in India,12000000.0,2017.0,Unknown,Investor,Other,India
Design Cafe,"Home Decor, Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home",series b,"Bengaluru, Karnataka, India","Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",24000000.0,2017.0,Unknown,Investor,series b,India
NoPaperForms Solutions Pvt. Ltd.,"EdTech, Education, Information Services, SaaS",series b,"New Delhi, Delhi, India","NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",3980000.0,2017.0,Unknown,Investor,series b,India
Rays Power Infra,"Energy, Solar",venture - series unknown,"Jaipur, Rajasthan, India",Rays Power Infra is a leading integrated Solar Power Company.,24000000.0,2017.0,Unknown,Investor,Other,India
AuthMetrik,"B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security",grant,"Gurgaon, Haryana, India","SaaS, B2B, Security, Stop account sharing, Fraud Detection",10000.0,2017.0,Unknown,Investor,Other,India
Khidki,"Artificial Intelligence, Social",seed,"Bangalore, Karnataka, India",Vernacular Social Network Focused on Town Level Content and Interactions,0.0,2017.0,Unknown,Investor,seed,India
LetsTransport,"Logistics, Transportation, Travel",series b,"Bangalore, Karnataka, India",Lets transport is a logistics solution provider.,12000000.0,2017.0,Unknown,Investor,series b,India
Next Digital Solutions,"Digital Marketing, SEM, SEO, Web Development",angel,"Kota, Rajasthan, India",Next Digital Solutions is website design & Digital Marketing development company.,1200.0,2017.0,Unknown,Investor,Other,India
Portea Medical,"Health Care, Hospital, Medical",debt financing,"Bangalore, Karnataka, India",Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,3000000.0,2017.0,Unknown,Investor,Other,India
Aavas Financiers,"Finance, Financial Services",post-ipo debt,"Jaipur, Rajasthan, India","Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",24000000.0,2017.0,Unknown,Investor,Other,India
Swiggy,"Food Delivery, Food Processing, Internet",series h,"Bangalore, Karnataka, India",Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,1000000000.0,2017.0,Unknown,Investor,Other,India
Milkbasket,"E-Commerce, Food and Beverage, Internet",series a,"Haryana, Haryana, India","Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",7000000.0,2017.0,Unknown,Investor,series a,India
Nutrisattva (Proliva),"Fitness, Food and Beverage, Health Care, Nutrition",angel,"Anand, Gujarat, India",Nutrisattva is a protein innovation compan,0.0,2017.0,Unknown,Investor,Other,India
Toppr,"EdTech, Education, Knowledge Management",series c,"Mumbai, Maharashtra, India",Toppr.com is an online preparation platform for entrance exams in India.,35000000.0,2017.0,Unknown,Investor,series c,India
Jagaran Microfin,—,debt financing,"Kolkata, West Bengal, India",Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,6600000.0,2017.0,Unknown,Investor,Other,India
Vivriti Capital,Financial Services,venture - series unknown,"Chennai, Tamil Nadu, India",Vivriti Capital is an online platform for institutional debt in India.,28500000.0,2017.0,Unknown,Investor,Other,India
Be U Salons,"Apps, Beauty, Consumer, Retail",seed,"New Delhi, Delhi, India",Be U is India's first subscription based Salon Chain.,360000.0,2017.0,Unknown,Investor,seed,India
Impact Guru,"Creative Agency, Crowdfunding, EdTech, Health Care, Internet, Medical, Non Profit, Personal Health",series a,"Mumbai, Maharashtra, India","We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2000000.0,2017.0,Unknown,Investor,series a,India
MobiKwik,"Consumer Lending, Financial Services, FinTech, Insurance, Lending, Mobile Payments, Payments, Wealth Management",series e,"Gurgaon, Haryana, India",MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,2880000.0,2017.0,Unknown,Investor,Other,India
Stones2Milestones,"E-Learning, Education, Higher Education",seed,"Gurgaon, Haryana, India",Stones2milestones is a Gurgaon Based Learning Company.,0.0,2017.0,Unknown,Investor,seed,India
Generico,"Health Care, Medical, Pharmaceutical",series a,"Mumbai, Maharashtra, India",Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,0.0,2017.0,Unknown,Investor,series a,India
Adiuvo Diagnostics,Health Diagnostics,seed,"Chennai, Tamil Nadu, India",Adiuvo Diagnostics is a medical diagnostic device company based in India.,0.0,2017.0,Unknown,Investor,seed,India
DataTrained,"EdTech, Education",seed,"Bangalore, Karnataka, India","DataTrained is a educational platform, which operates an ed-tech startup on data science",1440000.0,2017.0,Unknown,Investor,seed,India
OneAssist,"Financial Services, SaaS, Security",debt financing,"Mumbai, Maharashtra, India",OneAssist is a protection & assistance services platform.,2400000.0,2017.0,Unknown,Investor,Other,India
Satin Creditcare Network Limited (SCNL),"Banking, Finance, Financial Services, Non Profit",post-ipo debt,"New Delhi, Delhi, India",Satin is a non-banking finance company providing individual loans to urban shopkeepers.,30000000.0,2017.0,Unknown,Investor,Other,India
APAC Financial Services,"Finance, Financial Services",private equity,"Mumbai, Maharashtra, India",APAC Financial Services is a financial services platform.,30000000.0,2017.0,Unknown,Investor,Other,India
Moglix,"B2B, E-Commerce, Mobile",series c,"Noida, Uttar Pradesh, India","Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",23000000.0,2017.0,Unknown,Investor,series c,India
SEDEMAC Mechatronics,"Automotive, Electric Vehicle, Renewable Energy",venture - series unknown,"Mumbai, Maharashtra, India",SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,0.0,2017.0,Unknown,Investor,Other,India
MadGuy Labs,E-Learning,venture - series unknown,"Hyderabad, Andhra Pradesh, India",MadGuy Labs is a Online Test-prep Platform.,150000.0,2017.0,Unknown,Investor,Other,India
Dee Dee Labs,"Embedded Systems, Health Care, Medical, Product Research",seed,"Pune, Maharashtra, India",Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,0.0,2017.0,Unknown,Investor,seed,India
FLEECA,—,seed,"Jaipur, Rajasthan, India",FLEECA is a Tyre Care Provider company.,0.0,2017.0,Unknown,Investor,seed,India
Shop101,"Apps, E-Commerce, Internet",series b,"Mumbai, Maharashtra, India",#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,11000000.0,2017.0,Unknown,Investor,series b,India
FeedMyPockets,"Advertising, Human Resources, Marketing",seed,"Bangalore City, Karnataka, India",On Demand Staffing Platform,528000.0,2017.0,Unknown,Investor,seed,India
Housejoy,"Beauty, Fitness, Home Services, Internet",series b,"Bengaluru, Karnataka, India",Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,3240000.0,2017.0,Unknown,Investor,series b,India
Ambee,"Health Care, Medical Device, Public Safety",angel,"Bangalore, Karnataka, India",Ambee is an Environment analytics startup.,0.0,2017.0,Unknown,Investor,Other,India
FoodBuddy,"Food Delivery, Online Portals, Restaurants",seed,"Belgaum, Karnataka, India","FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",720000.0,2017.0,Unknown,Investor,seed,India
Ninjacart,"AgTech, B2B, Supply Chain Management",series b,"Bengaluru, Karnataka, India",Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,30000000.0,2017.0,Unknown,Investor,series b,India
Olly Smart Credit Card,"Credit Cards, Finance, Mobile Apps, Mobile Payments, Payments",seed,"New Delhi, Delhi, India",Olly is a digital credit card for India's working masses and young people.,0.0,2017.0,Unknown,Investor,seed,India
Zestl,Software,seed,"Pune, Maharashtra, India","No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",0.0,2017.0,Unknown,Investor,seed,India
BYJU’S,"EdTech, Education, Higher Education, Secondary Education",private equity,"Bangalore, Karnataka, India",BYJU’s is an edtech company that is reinventing how students learn through its learning app.,540000000.0,2017.0,Unknown,Investor,Other,India
Wakefit,"Manufacturing, Retail",venture - series unknown,"Bangalore, Karnataka, India",Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,7800000.0,2017.0,Unknown,Investor,Other,India
Hero Electric,Manufacturing,venture - series unknown,"New Delhi, Delhi, India","Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",19200000.0,2017.0,Unknown,Investor,Other,India
Pentation Analytics,"Information Services, Information Technology, InsurTech",seed,"Mumbai, Maharashtra, India",Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,0.0,2017.0,Unknown,Investor,seed,India
PerkFinance,"Consumer Lending, FinTech",seed,"Bangalore, Karnataka, India",PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,900000.0,2017.0,Unknown,Investor,seed,India
Roposo,"Internet, Social Network, TV",series c,"Gurgaon, Haryana, India",Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,10000000.0,2017.0,Unknown,Investor,series c,India
Plum Goodness,"Beauty, Health Care",series a,"Thane, Maharashtra, India",Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,0.0,2017.0,Unknown,Investor,series a,India
Drstore,Hospital,seed,"Mumbai, Maharashtra, India",Drstore is a exclusive e- commerce platform.,0.0,2017.0,Unknown,Investor,seed,India
Wow Venue,Events,venture - series unknown,"Mumbai, Maharashtra, India",Wow Venue is an online platform.,1500000.0,2017.0,Unknown,Investor,Other,India
Chizel,"3D Printing, Manufacturing, Product Design",seed,"Pune, Maharashtra, India",Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,0.0,2017.0,Unknown,Investor,seed,India
OTO Capital,Automotive,seed,"Mumbai, Maharashtra, India",OTO Capital is a platform that allows you to own a car faster than ever.,600000.0,2017.0,Unknown,Investor,seed,India
Boodmo,"Automotive, Retail",seed,"Gurgaon, Haryana, India",boodmo.com - large online marketplace for auto parts in India.,840000.0,2017.0,Unknown,Investor,seed,India
Khabri,"Apps, Audio",seed,"Haryana, Haryana, India",Khabri is a digital audio platform for content in vernacular.,0.0,2017.0,Unknown,Investor,seed,India
MyNewCar.in,"Automotive, E-Commerce",venture - series unknown,"Gurgaon, Haryana, India",MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,1000000.0,2017.0,Unknown,Investor,Other,India
HalaPlay Technologies,"Digital Entertainment, Fantasy Sports, Sports",series a,"Bangalore, Karnataka, India",A daily fantasy sports platform.,5000000.0,2017.0,Unknown,Investor,series a,India
PlanetSpark,"E-Learning, EdTech, Education",seed,"Gurgaon, Haryana, India",PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,192000.0,2017.0,Unknown,Investor,seed,India
